# 《习近平新时代中国特色社会主义思想概论》期末复习题库（212题 完整整理）
## 一、单选题（118道）
**第1题**
党的二十大报告指出，十年来，我们创立了习近平新时代中国特色社会主义思想，明确坚持和发展中国特色社会主义的基本方略，提出一系列治国理政新理念新思想新战略，实现了马克思主义(        )新的飞跃，坚持不懈用这一创新理论武装头脑、指导实践、推动工作，为新时代党和国家事业发展提供了根本遵循。
A. 时代化大众化
B. 中国化时代化
C. 中国化现代化
D. 中国化大众化
**正确答案：B**

**第2题**
党的(        )报告提出，我国社会主要矛盾已经转化为人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾。
A. 十九大
B. 十六大
C. 十七大
D. 十八大
**正确答案：A**

**第3题**
党的百年奋斗成功道路是党领导人民独立自主探索开辟出来的，马克思主义的中国篇章是中国共产党人依靠自身力量实践出来的，贯穿其中的一个基本点就是中国的问题必须(        )，由中国人自己来解答。
A. 从中国基本国情出发
B. 实施科教兴国战略
C. 推动高质量发展
D. 坚持深化改革开放
**正确答案：A**

**第4题**
习近平总书记在十九大报告中指出，中国特色社会主义进入新时代，我国社会主要矛盾(        )。
A. 已经转化为人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾
B. 仍然是无产阶级同资产阶级之间的矛盾
C. 官僚资本同民族资本之间的矛盾
D. 是人民日益增长的物质文化需要同落后的社会生产之间的矛盾。
**正确答案：A**

**第5题**
习近平新时代中国特色社会主义思想是当代中国马克思主义、二十一世纪马克思主义，是中华文化和(        )的时代精华，实现了马克思主义中国化时代化新的飞跃。
A. 中国力量
B. 中国能量
C. 中国精神
D. 中国智慧
**正确答案：C**

**第6题**
新征程上，统筹推进“五位一体”总体布局，协调推进“四个全面”战略布局，必须紧紧扭住(        )这个战略目标不动摇。
A. 全面建成小康社会
B. 全面深化改革
C. 全面建设社会主义现代化国家
D. 全面依法治国
**正确答案：C**

**第7题**
习近平新时代中国特色社会主义思想坚持把马克思主义基本原理同(        )相结合，不断夯实马克思主义中国化时代化的历史基础和群众基础。
A. 中国实际和时代特征
B. 中国革命文化
C. 中国式现代化
D. 中华优秀传统文化
**正确答案：D**

**第8题**
党的十八大以来，我国经济已由高速增长阶段转向(        )阶段。
A. 世界级市场
B. 高水平开放
C. 强动力转换
D. 高质量发展
**正确答案：D**

**第9题**
(        )问题是关系党的事业兴衰成败第一位的问题。
A. 道路
B. 经济
C. 制度
D. 主义
**正确答案：A**

**第10题**
(        )的新发展理念，相互贯通、相互促进，是具有内在联系的集合体，要统一贯彻，不能顾此失彼，也不能相互替代。
A. 改革、和谐、绿色、开放、共享
B. 创新、协调、和谐、开放、共赢
C. 创新、和谐、绿色、开放、发展
D. 创新、协调、绿色、开放、共享
**正确答案：D**

**第11题**
社会主义发展道路从来都不是笔直的，始终充满着险阻曲折，需要依靠(        )打开事业发展新天地。
A. 顽强斗争
B. 宝贵经验
C. 坚定信仰
D. 科学理论
**正确答案：A**

**第12题**
必须坚持(        )是第一生产力。
A. 人才
B. 资源
C. 科学技术
D. 环境
**正确答案：C**

**第13题**
在改革开放和社会主义现代化建设新时期，中国特色社会主义取得了举世瞩目的伟大成就，我国实现了从生产力相对落后的状况到经济总量跃居世界(        )的历史性突破。
A. 第二
B. 第三
C. 第一
D. 第四
**正确答案：A**

**第14题**
经过长期努力，我国已建成世界上(        )的教育体系。
A. 最高质量
B. 最具均衡
C. 规模中等
D. 规模最大
**正确答案：D**

**第15题**
要按照"五位一体"总体布局的整体性目标要求，坚持以(        )为中心，努力推动社会主义物质文明、政治文明、精神文明、社会文明、生态文明协调发展，不断推进和拓展中国式现代化，不断丰富和发展人类文明新形态。
A. 文化建设
B. 经济建设
C. 社会建设
D. 政治建设
**正确答案：B**

**第16题**
(        )是改革开放的鲜明特征和首要任务，也是新时代贯彻新发展理念、构建新发展格局、推动高质量发展的必然要求。
A. 解放和发展社会生产力
B. 增强社会活力
C. 解放思想
D. 调整生产关系
**正确答案：A**

**第17题**
习近平总书记指出:“决策议事协调机构重点是谋大事、议大事、抓大事，听取各方面的意见和建议，更好坚持(        )，提高决策的科学性。”
A. 民主集中制
B. 全面从严治党制度
C. 党的全面领导制度
D. 不忘初心、牢记使命的制度
**正确答案：A**

**第18题**
一个国家是不是民主，应该由这个国家的(        )来评判，而不应该由外部少数人指手画脚来评判。
A. 人民
B. 执政党
C. 社会团体
D. 国家性质
**正确答案：A**

**第19题**
(        )是党的领导核心地位的必然反映和内在要求，明确了我国政治生活的领导关系、领导主体、领导对象，是中国特色社会主义制度体系的核心。
A. 不忘初心、牢记使命的制度
B. 人民当家作主制度
C. 全面从严治党制度
D. 党的领导制度
**正确答案：D**

**第20题**
全过程人民民主始终将(        )作为民主政治建设的出发点和落脚点。
A. 坚持党的领导
B. 实现最广大人民根本利益
C. 全面建设社会主义现代化国家
D. 改革开放
**正确答案：B**

**第21题**
在当今中国，最高政治领导力量是(        )。
A. 全国人民代表大会
B. 中国共产党
C. 中国人民政治协商会议
D. 无产阶级
**正确答案：B**

**第22题**
全面依法治国的唯一正确道路是(        )。
A. 中国特色社会主义道路
B. 中国特色社会主义政治发展道路
C. 中国特色社会主义法治道路
D. 中国特色社会主义法制道路
**正确答案：C**

**第23题**
中国共产党以(        )作为行动指南，在实践中不断推进马克思主义中国化时代化，为坚持和完善中国特色社会主义制度提供强大理论优势。
A. 科学社会主义
B. 马克思主义
C. 毛泽东思想
D. 列宁主义
**正确答案：B**

**第24题**
(        )是党领导人民治理国家的基本方式。
A. 以人民为中心
B. 绿色发展
C. 人民当家作主
D. 依法治国
**正确答案：D**

**第25题**
(        )是坚持和发展中国特色社会主义的必由之路。
A. 改革开放
B. 全面依法治国
C. 文化自信
D. 高质量发展
**正确答案：A**

**第26题**
新时代新征程，坚持马克思主义在意识形态领域指导地位的根本制度，必须牢牢掌握(        )，坚持以立为本、立破并举，提高政治自觉。
A. 马克思主义的科学理论
B. 网络空间的治理和引导
C. 党对意识形态工作领导权
D. 中国特色社会主义科学体系的构建
**正确答案：C**

**第27题**
(        )是经济社会发展的强大动力。
A. 改革
B. 发展
C. 稳定
D. 革命
**正确答案：A**

**第28题**
建设社会主义文化强国，要坚持以(        )引领文化建设。
A. 社会主义核心价值体系
B. 理想信念、价值理念、道德观念
C. 中华优秀传统文化
D. 社会主义核心价值观
**正确答案：D**

**第29题**
在全面建设社会主义现代化国家新征程上，根本动力仍然是(        )，要继续用足用好改革开放这个关键一招。
A. 高质量发展
B. 全面依法治国
C. 改革开放
D. 文化自信
**正确答案：C**

**第30题**
要坚持(        )为主体，提高劳动报酬在初次分配中的比重，完善按要素分配政策。
A. 按生产要素
B. 按社会制度
C. 按人民需求
D. 按劳分配
**正确答案：D**

**第31题**
要坚持稳中求进工作总基调，把改革的力度、发展的速度和社会可承受的程度统一起来，把(        )作为正确处理改革发展稳定关系的结合点，在保持社会稳定中推进改革发展，通过改革发展促进社会稳定。
A. 激发创造活力
B. 解放社会生产力
C. 改善人民生活
D. 增强社会活力
**正确答案：C**

**第32题**
健全和完善(        )是新时代加强社会建设的重要着力点。
A. 社会治理体系
B. 社会保障体系
C. 医疗卫生体系
D. 社会服务体系
**正确答案：B**

**第33题**
(        )是引领发展的第一动力。
